2026-02-15 15:58:36,186 | INFO | app.main | Smart Airport Ride Pooling Backend Started
2026-02-15 15:58:43,803 | INFO | app.main | Incoming request: GET http://127.0.0.1:8000/
2026-02-15 15:58:43,807 | INFO | app.main | Completed GET http://127.0.0.1:8000/ Status: 404 Time: 0.001s
2026-02-15 15:58:43,857 | INFO | app.main | Incoming request: GET http://127.0.0.1:8000/favicon.ico
2026-02-15 15:58:43,860 | INFO | app.main | Completed GET http://127.0.0.1:8000/favicon.ico Status: 404 Time: 0.003s
2026-02-15 15:58:44,345 | INFO | app.main | Incoming request: GET http://127.0.0.1:8000/
2026-02-15 15:58:44,346 | INFO | app.main | Completed GET http://127.0.0.1:8000/ Status: 404 Time: 0.0011s
2026-02-15 15:58:51,908 | INFO | app.main | Incoming request: GET http://127.0.0.1:8000/docs
2026-02-15 15:58:51,909 | INFO | app.main | Completed GET http://127.0.0.1:8000/docs Status: 200 Time: 0.002s
2026-02-15 15:58:52,531 | INFO | app.main | Incoming request: GET http://127.0.0.1:8000/openapi.json
2026-02-15 15:58:52,555 | INFO | app.main | Completed GET http://127.0.0.1:8000/openapi.json Status: 200 Time: 0.0243s
2026-02-15 15:59:07,949 | INFO | app.main | Incoming request: GET http://127.0.0.1:8000/openapi.json
2026-02-15 15:59:07,952 | INFO | app.main | Completed GET http://127.0.0.1:8000/openapi.json Status: 200 Time: 0.0033s
2026-02-15 16:00:17,442 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/request
2026-02-15 16:00:17,450 | INFO | app.services.ride_service | Creating ride request for user 1
2026-02-15 16:01:04,508 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/request
2026-02-15 16:01:04,514 | INFO | app.services.ride_service | Creating ride request for user 1
2026-02-15 16:04:07,815 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/request
2026-02-15 16:04:07,818 | INFO | app.services.ride_service | Creating ride request for user 1
2026-02-15 16:04:08,981 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/request
2026-02-15 16:04:08,988 | INFO | app.services.ride_service | Creating ride request for user 1
2026-02-15 16:05:04,556 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/request
2026-02-15 16:05:04,558 | INFO | app.services.ride_service | Creating ride request for user 1
2026-02-15 16:06:33,469 | INFO | app.main | Smart Airport Ride Pooling Backend Started
2026-02-15 16:06:46,616 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/request
2026-02-15 16:06:46,619 | INFO | app.services.ride_service | Creating ride request for user 0
2026-02-15 16:07:09,701 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/request
2026-02-15 16:07:09,703 | INFO | app.services.ride_service | Creating ride request for user 1
2026-02-15 16:07:09,751 | INFO | app.main | Completed POST http://127.0.0.1:8000/rides/request Status: 200 Time: 0.0505s
2026-02-15 16:11:44,019 | INFO | app.main | Smart Airport Ride Pooling Backend Started
2026-02-15 16:12:26,086 | INFO | app.main | Smart Airport Ride Pooling Backend Started
2026-02-15 16:12:50,809 | INFO | app.main | Incoming request: GET http://127.0.0.1:8000/rides/7/cancel
2026-02-15 16:12:50,812 | INFO | app.main | Completed GET http://127.0.0.1:8000/rides/7/cancel Status: 405 Time: 0.0023s
2026-02-15 16:17:11,460 | INFO | app.main | Smart Airport Ride Pooling Backend Started
2026-02-15 16:18:05,840 | INFO | app.main | Smart Airport Ride Pooling Backend Started
2026-02-15 16:18:15,728 | INFO | app.main | Incoming request: GET http://127.0.0.1:8000/
2026-02-15 16:18:15,790 | INFO | app.main | Completed GET http://127.0.0.1:8000/ Status: 200 Time: 0.0623s
2026-02-15 16:18:18,208 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/request
2026-02-15 16:18:18,217 | INFO | app.services.ride_service | Creating ride request for user 1
2026-02-15 16:18:18,292 | INFO | app.main | Completed POST http://127.0.0.1:8000/rides/request Status: 200 Time: 0.0841s
2026-02-15 16:18:21,421 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides//cancel
2026-02-15 16:18:21,423 | INFO | app.main | Completed POST http://127.0.0.1:8000/rides//cancel Status: 405 Time: 0.002s
2026-02-15 16:18:23,190 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/request
2026-02-15 16:18:23,192 | INFO | app.services.ride_service | Creating ride request for user 1
2026-02-15 16:18:23,214 | INFO | app.main | Completed POST http://127.0.0.1:8000/rides/request Status: 200 Time: 0.0238s
2026-02-15 16:18:24,553 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/request
2026-02-15 16:18:24,555 | INFO | app.services.ride_service | Creating ride request for user 1
2026-02-15 16:18:24,572 | INFO | app.main | Completed POST http://127.0.0.1:8000/rides/request Status: 200 Time: 0.0195s
2026-02-15 16:18:25,361 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/request
2026-02-15 16:18:25,367 | INFO | app.services.ride_service | Creating ride request for user 1
2026-02-15 16:18:25,423 | INFO | app.main | Completed POST http://127.0.0.1:8000/rides/request Status: 200 Time: 0.0624s
2026-02-15 16:18:26,165 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/request
2026-02-15 16:18:26,170 | INFO | app.services.ride_service | Creating ride request for user 1
2026-02-15 16:18:26,218 | INFO | app.main | Completed POST http://127.0.0.1:8000/rides/request Status: 200 Time: 0.0528s
2026-02-15 16:18:26,981 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/request
2026-02-15 16:18:26,986 | INFO | app.services.ride_service | Creating ride request for user 1
2026-02-15 16:18:27,013 | INFO | app.main | Completed POST http://127.0.0.1:8000/rides/request Status: 200 Time: 0.032s
2026-02-15 16:18:27,566 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/request
2026-02-15 16:18:27,569 | INFO | app.services.ride_service | Creating ride request for user 1
2026-02-15 16:18:27,592 | INFO | app.main | Completed POST http://127.0.0.1:8000/rides/request Status: 200 Time: 0.0258s
2026-02-15 16:18:28,729 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides//cancel
2026-02-15 16:18:28,730 | INFO | app.main | Completed POST http://127.0.0.1:8000/rides//cancel Status: 405 Time: 0.001s
2026-02-15 16:18:42,712 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/request
2026-02-15 16:18:42,713 | INFO | app.services.ride_service | Creating ride request for user 1
2026-02-15 16:18:42,726 | INFO | app.main | Completed POST http://127.0.0.1:8000/rides/request Status: 200 Time: 0.014s
2026-02-15 16:18:44,614 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides//cancel
2026-02-15 16:18:44,615 | INFO | app.main | Completed POST http://127.0.0.1:8000/rides//cancel Status: 405 Time: 0.001s
2026-02-15 16:19:02,067 | INFO | app.main | Smart Airport Ride Pooling Backend Started
2026-02-15 16:22:38,434 | INFO | app.main | Incoming request: GET http://127.0.0.1:8000/
2026-02-15 16:22:38,507 | INFO | app.main | Completed GET http://127.0.0.1:8000/ Status: 200 Time: 0.0733s
2026-02-15 16:22:45,642 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/request
2026-02-15 16:22:45,652 | INFO | app.services.ride_service | Creating ride request for user 1
2026-02-15 16:22:45,710 | INFO | app.main | Completed POST http://127.0.0.1:8000/rides/request Status: 200 Time: 0.0678s
2026-02-15 16:22:52,772 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/7/cancel
2026-02-15 16:22:52,786 | INFO | app.services.ride_service | Cancelling ride request 7
2026-02-15 16:22:52,824 | INFO | app.main | Completed POST http://127.0.0.1:8000/rides/7/cancel Status: 200 Time: 0.0522s
2026-02-15 16:22:55,540 | INFO | app.main | Incoming request: POST http://127.0.0.1:8000/rides/request
2026-02-15 16:22:55,542 | INFO | app.services.ride_service | Creating ride request for user 1
